Group,Family,Scientific Name,Common Name,Continent of Origin,Year First Collected,Category
Algae,Hemidiscaceae,Actinocyclus normanii f. subsalsa,a centric diatom,Europe,1709,Nonindigenous
Algae,Bangiaceae,Bangia atropurpurea,a red alga,Europe,1944,Nonindigenous
Algae,Chaetocerotaceae,Chaetoceros muelleri,a centric diatom,Unknown,1978,Nonindigenous
Algae,Stylonemataceae,Chroodactylon ornatum,a red alga,North America,1964,Nonindigenous
Algae,Thalassiosiraceae,Conticribra guillardii,a centric diatom,Europe,1973,Nonindigenous
Algae,Stephanodiscaceae,Cyclotella atomus,a centric diatom,Unknown,1964,Nonindigenous
Algae,Stephanodiscaceae,Cyclotella cryptica,a centric diatom,Unknown,1964,Nonindigenous
Algae,Nostocaceae,Cylindrospermopsis raciborskii,Cylindro,Indo-Pacific,1971,Nonindigenous
Algae,Fragilariaceae,Diatoma ehrenbergii,a pennate diatom,Unknown,1938,Nonindigenous
Algae,Gomphonemataceae,Didymosphenia geminata,didymo,Unknown,1994,Range Expander
Algae,Stephanodiscaceae,Discostella pseudostelligera,a centric diatom,Unknown,1935,Nonindigenous
Algae,Stephanodiscaceae,Discostella woltereckii,a centric diatom,Unknown,1964,Nonindigenous
Algae,Hymenomonadaceae,Hymenomonas roseola,a coccolithophorid,Europe,1975,Nonindigenous
Algae,Characeae,Nitellopsis obtusa,starry stonewort,Eurasia,1981,Nonindigenous
Algae,Triceratiaceae,Pleurosira laevis,a centric diatom,Europe and Africa,1978,Nonindigenous
Algae,Skeletonemataceae,Skeletonema potamos,a centric diatom,Unknown,1963,Nonindigenous
Algae,Skeletonemaceae,Skeletonema subsalsum,a centric diatom,Eurasia,1973,Nonindigenous
Algae,Sphacelariaceae,Sphacelaria fluviatilis,a brown alga,Asia,1975,Nonindigenous
Algae,Sphacelariaceae,Sphacelaria lacustris,a brown alga,Unknown,1975,Nonindigenous
Algae,Stephanodiscaceae,Stephanodiscus binderanus,a centric diatom,Eurasia,1930,Nonindigenous
Algae,Stephanodiscaceae,Stephanodiscus subtilis,a centric diatom,Eurasia,1946,Nonindigenous
Algae,Thalassiosiraceae,Thalassiosira baltica,a centric diatom,Eurasia,1988,Nonindigenous
Algae,Thalassiosiraceae,Thalassiosira bramaputrae,a centric diatom,Unknown,1978,Nonindigenous
Algae,Thalassiosiraceae,Thalassiosira pseudonana,a centric diatom,Unknown,1973,Nonindigenous
Algae,Thalassiosiraceae,Thalassiosira weissflogii,a centric diatom,Unknown,1962,Nonindigenous
Algae,Ulvaceae,Ulva (Enteromorpha) flexuosa subsp. flexuosa and flexuosa subsp. paradoxa,"green alga, grass kelp",Unknown,2003,Nonindigenous
Algae,Ulvaceae,Ulva (Enteromorpha) intestinalis,"green alga, grass kelp",North America,1926,Nonindigenous
Algae,Ulvaceae,Ulva (Enteromorpha) prolifera,"green alga, grass kelp, sea lettuce",North America,1979,Nonindigenous
Amphibians-Frogs,Ranidae,Lithobates catesbeianus,American Bullfrog,North America,1894,Range Expander
Annelids-Oligochaetes,Tubificidae,Branchiura sowerbyi,a tubificid worm,Asia,1951,Nonindigenous
Annelids-Oligochaetes,Tubificidae,Gianius aquaedulcis,a tubificid worm,Europe,1983,Nonindigenous
Annelids-Oligochaetes,Tubificidae,Potamothrix bedoti,a tubificid worm,Eurasia,1975,Nonindigenous
Annelids-Oligochaetes,Tubificidae,Potamothrix moldaviensis,a tubificid worm,Eurasia,1952,Nonindigenous
Annelids-Oligochaetes,Tubificidae,Potamothrix vejdovskyi,a tubificid worm,Eurasia,1965,Nonindigenous
Annelids-Oligochaetes,Naididae,Ripistes parasita,an oligochaete,Eurasia,1980,Nonindigenous
Bacteria,Pseudomonadaceae,Aeromonas salmonicida,"furunculosis, ulcer disease, erythrodermatitis",Unknown,1999,Nonindigenous
Bacteria,,Piscirickettsia cf. salmonis,Muskie pox,Unknown,2002,Nonindigenous
Bacteria,Corynebacteriaceae,Renibacterium (Corynebacterium) salmoninarum,"bacterial kidney disease (BKD), Dee disease",Europe,1967,Nonindigenous
Bryozoans,Vesiculariidae,Lophopodella carteri,Asian freshwater bryozoan,Asia,1934,Nonindigenous
Coelenterates-Hydrozoans,Oceanidae,Cordylophora caspia,freshwater hydroid,Eurasia,1956,Nonindigenous
Coelenterates-Hydrozoans,Olindiidae,Craspedacusta sowerbii,freshwater jellyfish,Asia,1933,Nonindigenous
Crustaceans-Amphipods,Gammaridae,Echinogammarus ischnus,scud,Europe,1994,Nonindigenous
Crustaceans-Amphipods,Gammaridae,Gammarus fasciatus,a freshwater amphipod,North America,1874,Range Expander
Crustaceans-Amphipods,Gammaridae,Gammarus tigrinus,tiger scud,North America,1985,Nonindigenous
Crustaceans-Cladocerans,Cercopagidae,Bythotrephes longimanus,spiny waterflea,Europe,1982,Nonindigenous
Crustaceans-Cladocerans,Cercopagidae,Cercopagis pengoi,fishhook waterflea,Asia,1998,Nonindigenous
Crustaceans-Cladocerans,Daphniidae,Daphnia galeata galeata,a waterflea,Eurasia,1980,Nonindigenous
Crustaceans-Cladocerans,Daphniidae,Daphnia lumholtzi,a waterflea,Unknown,1999,Nonindigenous
Crustaceans-Cladocerans,Sididae,Diaphanosoma fluviatile,a cladoceran,South and Central America,2015,Nonindigenous
Crustaceans-Cladocerans,Bosminidae,Eubosmina coregoni,Baltic Long-nosed Waterflea,Europe,1966,Nonindigenous
Crustaceans-Cladocerans,Bosminidae,Eubosmina maritima,a cladoceran,Eurasia,1988,Nonindigenous
Crustaceans-Copepods,Argulidae,Argulus japonicus,Japanese fishlouse,Asia,1989,Nonindigenous
Crustaceans-Copepods,Cyclopidae,Cyclops strenuus,a copepod,North America,1972,Nonindigenous
Crustaceans-Copepods,Temoridae,Eurytemora affinis,a calanoid copepod,North America,1958,Nonindigenous
Crustaceans-Copepods,Canthocamptidae,Heteropsyllus nr. nunni,a copepod,Unknown,1996,Nonindigenous
Crustaceans-Copepods,Cyclopidae,Megacyclops viridis,a cyclopoid copepod,Europe,1994,Nonindigenous
Crustaceans-Copepods,Cyclopidae,Mesocyclops pehpeiensis,a copepod,Asia,2016,Nonindigenous
Crustaceans-Copepods,Ergasilidae,Neoergasilus japonicus,a parasitic copepod,Asia,1994,Nonindigenous
Crustaceans-Copepods,Ameiridae,Nitokra hibernica,a harpacticoid copepod,Eurasia,1972,Nonindigenous
Crustaceans-Copepods,Ameiridae,Nitokra incerta,a harpacticoid copepod,Eurasia,1999,Nonindigenous
Crustaceans-Copepods,Lernaeopodidae,Salmincola californiensis,gill maggot,Unknown,2014,Nonindigenous
Crustaceans-Copepods,Lernaeopodidae,Salmincola edwardsii,gill louse,Unknown,1894,Range Expander
Crustaceans-Copepods,Lernaeopodidae,Salmincola lotae,a parasitic copepod,Eurasia,1964,Nonindigenous
Crustaceans-Copepods,Diosaccidae,Schizopera borutzkyi,an oarsman,Europe,1999,Nonindigenous
Crustaceans-Copepods,Diaptomidae,Skistodiaptomus pallidus,a calanoid copepod,North America,1967,Nonindigenous
Crustaceans-Copepods,Cyclopidae,Thermocyclops crassus,a copepod,Europe and Africa,2014,Nonindigenous
Crustaceans-Crayfish,Cambaridae,Faxonius immunis,calico crayfish,North America,2011,Range Expander
Crustaceans-Crayfish,Cambaridae,Faxonius rusticus,Rusty Crayfish,North America,1897,Range Expander
